map_id,fragment_id,geom
geo,0012ca58-d395-4d56-aead-df52f3871e12,{}
geo,001f879c-8eb7-40a6-8660-877738b10971,{}
geo,002c7af9-dd35-40da-a4f3-6fabc1d23f6e,{0101000020E6100000EF2C8BD3DABD5EC076EFF2BE3BA14840:0101000020E610000009EEF60FD8BD5EC01EDE736039A14840}
geo,002cb759-0271-44eb-9c3c-8ded6e5e2d6f,{}
geo,00618828-386a-4fd9-b3a9-cab711b8bc8c,{0101000020E61000000EE7D0D84DBD5EC05F06088B2F9A4840:0101000020E61000005682C5E14CBD5EC05344E10E2F9A4840}
geo,0061fd7a-72a9-4a5c-ad44-87945b420dcc,{0101000020E6100000095D78149DB55EC0A4A833F790A34840}
geo,006a4d9a-726a-4145-8df8-4b0417f0da1d,{0101000020E61000006C088ECB38BD5EC096AFCBF09F9A4840:0101000020E6100000B9EAF0C638BD5EC0F7A9CF7A9D9A4840:0101000020E6100000722486D338BD5EC064247B849A9A4840}
geo,006b6b09-50a4-4305-b314-cda239f118f5,{}
geo,006f3dbb-0a62-4d5f-beee-55b5c270f5ea,{}
geo,00734eca-04d7-426c-9e1c-04224d86099c,{}
geo,0080f719-cc7a-4044-954b-8aa49bf88198,{}
geo,009a5883-0025-4a55-b00f-582c5fe84455,{0101000020E6100000BBDF579B35B65EC004DD0319A6974840}
geo,009d33ec-4f3f-421b-8bdf-eaa871108aa8,{0101000020E61000002C369CE8A9C15EC0B2E19F0898A14840}
geo,00a2fa5f-3bae-406d-9702-7a0927fd495e,{0101000020E6100000493EC0A4C2C05EC023A46E675F9D4840}
geo,00a88612-acb9-4038-8ae8-7827270eb818,{}
geo,00abfce3-8156-411d-bfe8-16b2cbe29e4e,{}
geo,00c69b63-1544-4b45-9680-2b499de36875,{}
geo,00c89843-4244-461c-a9f0-4ee609e58868,{}
geo,00cf5501-3ec1-488a-9db2-82c336c0d56b,{}
geo,00e1bcd1-35fd-40a6-869d-9a205dfa08fa,{}
geo,0101139f-812b-4bff-bf93-d0a6af51adbe,{}
geo,01032e66-2321-4a24-a33e-99b18656e114,{0101000020E6100000F1EAC1493FBE5EC0EDA820F58D9B4840}
geo,0124819d-06ca-4173-97b9-6a3de28e8faa,{0101000020E610000019C748F688B85EC087E69546279E4840:0101000020E6100000DE52735E88B85EC0887C3C99249E4840:0101000020E610000043ED6DE987B85EC0F4AE3033229E4840}
geo,0125f1d5-29f6-421a-8b14-34520af5eece,{0101000020E6100000B76DCE7726BD5EC0AC956478479A4840:0101000020E61000008115F1E725BD5EC0E1325D3E489A4840:0101000020E6100000DB8E047525BD5EC0280D350A499A4840:0101000020E61000003A24100A25BD5EC0395E81E8499A4840:0101000020E61000008291F2EE23BD5EC097FE25A94C9A4840}
geo,012a401c-7f83-4e93-a130-293f3625fa29,{}
geo,012d808a-09df-4318-bd2e-fd1cb6845643,{0101000020E61000006EA9DE7591C65EC0F0694E5E64A34840:0101000020E6100000F1E6BA3A91C65EC01B1D46F762A34840:0101000020E61000002742340491C65EC09ED3878961A34840:0101000020E61000002D0208C490C65EC0220093AF5FA34840:0101000020E6100000219C059090C65EC0BE9C7EF55DA34840}
geo,0131d81d-3bb8-4559-aa74-f8a932d805af,{}
geo,01324bd8-dd06-40bd-8ce8-c73c2592097b,{}
geo,01683f54-fc2e-4aae-a1a2-b2daf1c8b926,{}
geo,0172ffa3-9eaa-4031-89b4-fa110ab60a26,{0101000020E6100000EC40E77F83BA5EC0CC0D863AAC994840}
geo,01807b2a-a239-4453-9938-c0687f37701a,{}
geo,018e41d3-1e5f-4734-9704-d7f5fa72ded9,{}
geo,019ffa3d-a5e0-4057-92d9-ebde868569c4,{}
geo,01a892e6-c539-4545-8880-b4c032b3f7b9,{}
geo,01c97fdf-e5ff-4c98-b31a-b831477418a6,{0101000020E6100000331AF9BCE2C65EC0378DEDB5A0A34840:0101000020E61000007B2BB759E1C65EC0C01A0C1A9FA34840:0101000020E6100000BDDB61B8DFC65EC021FB6A589DA34840}
geo,01cb55d9-d570-4b33-a02e-c4e5c9b8fab4,{}
geo,01e486f1-4195-4ce3-b4c7-26a96d06efc1,{0101000020E61000001DCC26C030BD5EC07937BB5A939A4840:0101000020E610000004E3E0D231BD5EC01A1B1593929A4840:0101000020E6100000E0AAA1C332BD5EC09E5B8D91919A4840:0101000020E61000000910AA7933BD5EC0DAD59A9C909A4840}
geo,01f6a34b-4528-45e5-8d00-828d75fdc188,{0101000020E6100000BF547DF843B65EC038E9C77086984840:0101000020E6100000A23E6E6443B65EC03AC7253383984840}
geo,0203e9b6-44a7-42e2-a633-fd32986d0c73,{}
geo,02199d57-b994-4d04-a5d2-fac8c5df0736,{}
geo,02391ec1-20b6-4ec2-9dd2-02ecda8269c0,{}
geo,023f31ed-db86-42c0-9560-7c9373b7fc31,{0101000020E6100000DBF97E6A3CB95EC00AB4E0EAA59F4840}
geo,0266969b-54af-4aaf-91d9-26301a07d461,{}
geo,02683667-2d6e-4340-bfbf-361d4a7425e6,{}
geo,0269508e-8fa9-494d-9807-b9a84c7ee56e,{}
