osm_node,node_pair_id,track_node,notes
node/1014239543,NDI1OTY2MzAzNjUzMjQ3MjIwMzg=,41b75fbf-2ce9-4689-b1f4-fe8801983f11,BRO/1
node/1014239557,NTMyNDcyMjAzNzU5ODQ2MjgwOTE=,4ff7be33-2c11-48f9-b3d6-6c8709ca3785,BRI/1
node/1014239564,NDI1OTY2Mjg4NDQyNTk2NjI4ODM=,bd98dcfb-d86a-477e-baa7-75c7005dbf00,GMI/1
node/1014239567,NDI1OTY2MzAxMTU5ODQ2NTU0NDQ=,05e9b638-5882-45ad-a1f6-5c6a358047b5,GMO/0
node/1014239568,NTMyNDcyMjAzODU5ODQ2MjgwOTI=,ea4378b2-d8c1-4123-bd6f-90beb4454eb8,BRO/0
node/1014239578,NDI1OTY2Mjg4NTQyNTk2NjI4ODQ=,3a5b1a8f-be8b-4adc-858e-17999103d024,GMI/0
node/1014239582,NDI1OTY2Mjg3MjUzMjQ3MjIwMzc=,5471ab0e-ce80-4c59-a95f-2f11df4454fc,BRI/0
node/1014239586,NDI1OTY2MzAxMjQyNTk2NjMwMTE=,2a1abdfd-e931-4ac6-a312-fe17e17886ee,GMO/1
node/1014240119,MjUwMzgxNTU2NDI1OTY2Mjg0NQ==,70d8f953-88e8-49b8-8eed-6f95cb54a37a,HOI/1
node/1014240126,NDI1OTY2MzA2NDUzMjQ3MTk5ODE=,c89d64d6-0939-4fed-826d-99feb3668b25,HOO/1
node/1014240127,NDI1OTY2Mjg0NjI1MDM4MTU1Ng==,63e7a61a-0c46-4514-81b5-393afb69b2d1,HOI/0
node/1014240128,NTMyNDcxOTk4MTQyNTk2NjMwNjM=,9e186684-e2b1-4d65-a805-3ec0f57fb4a0,HOO/0
node/1014241389,MjUwMzgwMTExNzkwNjI4OTUw,cd3b5a15-28b7-46aa-b83a-acf9f4c121a1,PWO/0
node/1014241395,NTMyNDY4OTUzMTQyNTk2NjMxMTM=,92330834-46fc-4d2b-a53d-e1fb786b33f8,LCO/0
node/1014241397,MzgzMDE4NzQ1NTM4MzAxODc0NDA=,95bc00d6-5e98-4425-953f-f6ab2e45b123,PWI/0
node/1014241398,NDI1OTY2MzExNTUzMjQ2ODk1MzE=,c0fe5d0c-d5ab-4d16-8519-dbcfab19f9c6,LCO/1
node/1014241399,MjUwMzc5NjAxNDI1OTY2MzA4OQ==,fbaaf035-0579-4eb7-8d53-8988b4a8c2dd,SPO/0
node/1014241400,NDI1OTY2MjY4MjI1MDM3OTM2Mw==,140b1112-397d-4f71-8afd-16408f7463cb,LCI/0
node/1014241401,MzgzMDE4NzQyMTI1MDM4MDExMQ==,fb905c48-cc5b-4568-9a5d-b87567213641,PWO/1
node/1014241402,NDI1OTY2MzA5MDI1MDM3OTYwMQ==,4f27a1c7-89dd-4eda-9296-0e3586a82105,SPO/1
node/1014241404,MjUwMzc5MzYzNDI1OTY2MjY4MA==,2420b3d6-5059-466b-8e3a-8210bdaeb73a,LCI/1
node/1014241406,MzgzMDE4NzQ0MDM4MzAxODc0MDM=,73e6a9b0-188e-442d-872b-12be3ed380cd,PWI/1
node/1014242189,MTUwNTQ0MzgyNzcwNTMxNjkyNjM=,319efb91-04e8-47b5-9092-7d2d372ed56e,BDO/0
node/1014242194,NDI1OTE3OTUxNDUzMjQ2Njc4NzA=,eee86ec9-bf66-49ea-815a-0fe894a80f7d,BDI/0
node/1014242201,NjYxOTE0NDI0NzA1MzE0NDIzMQ==,9fcb3464-9c35-41e0-a520-ba2559638bc8,BDO/1
node/1014242202,NzA1MzE0NDIzMDQyNTkxNzk1MTM=,212406c2-84f1-4a11-b39a-de02bde6b5f8,BDI/1
node/1014246045,NjUxNzkyODMxODY1MDc0NTI4ODA=,dd91b247-ba4a-455a-b182-5635a5777f35,GWO/0
node/1014246049,NDI0OTI4MjcwNTY1MTc5MjgzMTg=,ea7e2302-e168-4198-adbe-d575cfc8d42f,GWO/1
node/1014246061,NDI0OTI4Mjc5NjUzMjQ0MTU2MDU=,7d4aea48-914e-460c-bb54-5e15bd2772de,SCI/0
node/1014246065,NTMyNDQxNTYwNTQyNDkyODI5MDA=,12dc9dc8-a223-4b72-822e-1ce0b632bf15,SCI/1
node/1014250162,MzgzMTcyNjcwMTM4MzI1MDA5NjA=,17c01cbe-0819-4af0-afcc-1fdfed0070bd,WFO/1
node/1030282805,ODU3MzIyMDUzNDU1OTU2NjAxMDc=,c901e958-de13-438a-82b3-b33f86eb4bb1,M3/0
node/1930051239,MTM5NDI5MTc3OTI1MDM4MDQ4OA==,40240fda-94f9-4e93-b250-9eba24d2d74a,LHO/1
node/1930051271,Mzk1NjA0MDE3MDg5NjM5ODA2NDA=,8ea5f668-16da-4ce5-a2f0-85cb9aa3db9e,LHI/1
node/1930051274,NDYzNjkyNDU1MDM4MzAxODgzNjM=,196c058e-8b7e-44ef-891f-1760e21668d2,LHI/0
node/1930051277,MjUwMzgwNDg4NTMyNDY4MDk2NQ==,1a1b52c4-2c97-4da6-9a8b-55464160b82c,LHO/0
node/2188770992,Mzk1NTk1OTgwNzM4MzE3MjY2OTE=,bbeddd34-25b4-4375-9882-a6734aac5182,WFO/0
node/3830176099,MzgzMDE3MTEwMDkyOTc0NjQ3MDY=,4a3902a1-6cac-4fee-96f7-1f7f1790ab50,STS/1
node/3830176099,MzgzMDE3MTEwNDM4MzAxNzYwODU=,18e8ae0f-eabb-4278-9fdd-71c37588c7ee,STO/1
node/5180969777,NDI0OTI4MjY4NTUzMjQ0NTMzNTE=,626178b9-f0e8-4761-837f-d15ddcac8b47,SRO/1
node/5180969778,NTMyNDQ1MzM1MTUxODA5Njk3Nzk=,6de2957f-0010-4fa3-be26-b8af9e96c685,SRO/0
node/5324471830,MjU3NTExMzIzMTE2ODAyMjE=,406e3f3d-3309-4858-ad93-9eed90fe57cc,COO/1
node/5324471833,MzExNjgwMjIxODU3MzIyMDU3OA==,4b8cd2cb-f6b8-45ef-9fd3-6ce2a092c024,COO/0
node/5324471834,NDI0OTI4MjYyMTUzMjQ0NzE4Mjg=,e689ca1d-202f-4191-9e5b-6f5313152b94,COI/0
node/5324471837,NTMyNDQ3MTgyODQyNDkyODI2OTQ=,221c8d8d-59c4-4bc7-9dab-b613fc1c53ef,COI/1
node/5324600049,OTQyNDk2NzgzMDk0MjQ5Njc4Mjk=,1d838d54-e309-46c1-a130-7f42c3a7caa5,TNI/0
node/5324600050,NTMyNDYwMDA1NDQyNTkxMjcwMTI=,67f03017-f250-446d-86f3-7ee8406d2b5a,TNI/1
node/5324600051,OTQyNDk2NzgyODk0MjQ5Njc4Mjc=,fb032c17-e6da-4d0b-85e2-7b6ff5902d7f,TNO/1
node/5324600052,OTQyNDk2NzgyNjk0MjQ5Njc4MjU=,dbb5bd87-dc1c-4ccd-ac53-0d915c41f8a0,TNO/0
node/5324626646,ODU3MzIyMDU4MzUzMjQ2MjY2NTE=,b3736152-2b40-42bf-9b02-355a205567e4,MNI/0
node/5324626647,NTMyNDYyNjY1MTQyNTkxMjcyMjA=,f99d7c28-1a9d-426f-bfbb-cc83185df649,MNI/1
node/5324626648,ODIyNzcyODc3NzUzMjQ2MjY2NTA=,7cc39742-d1e7-424b-8d47-02b4a1fd7d1b,MNO/1
node/5324626649,NTMyNDYyNjY1MDg1NzMyMjA1ODI=,7e6c297e-f497-489c-81d7-039ecd35d6ef,MNO/0
node/5324635043,NTMyODM4OTIxNTUzMjgzOTc0MjU=,616a946a-65f0-47d5-bc3c-cf9ccda5fb0a,GVO/1
node/5324635044,NTMyODM5NzQyNTUzMjgzOTc0MzE=,ead52212-0eb5-43fc-82da-eca6f1d6f947,GVO/0
node/5324674601,ODk2Mzk4MDYzOTUzMjQ2NzQ2MDU=,ca9ddf1c-a085-4219-a1e3-ea627ed899fc,LHS/1
node/5324674604,NDYzNjkyNDUzNTQ2MzY5MjQ1MzQ=,1fe945f6-8bb5-421f-a28c-998989bee0be,LHS/0
node/5984600592,NDI1OTY2MjgxMjUzMjQ3MTY3MjQ=,1794e31b-6e3b-45c1-ac02-c4151d6499c7,SPI/0
node/5984600593,NTMyNDcxNjcyNDQyNTk2NjI4MTE=,0ce8341b-8cb4-441d-b7c9-e9e765273146,SPI/1
node/7081700849,Njc2NTAxNzU5NDI4NzEyNzE1MTY=,9b4264ea-129f-4dc9-89d9-b480bafec828,MCI/0
node/7081700850,NTMyNjU5MDg3NTY3NjUwMTc1OTI=,9b7741cf-376b-4430-add6-b820fa19c871,MCO/0
node/7081700851,NTUyMzk0NDc2MzUzMjY2MDUzOTY=,61f5e3a0-cc17-41b3-8d4e-2405d32cd43c,MCO/1
node/7081700852,Mjg3MTI3MTUxNjI3ODQ0MDgyMjk=,de583c84-eb6e-4e9f-b749-455f79a238f2,MCI/1
node/7143285221,NDg2MTEyOTk4MDUzMjQ3NDIyMDY=,b70d09f1-7936-4d24-8515-5b3c68b85f62,CCO/1
node/7143285222,NDg2MTEyOTk3OTg1NzY1MjA1MDk=,a5b0a2ed-1f65-4a15-ba8e-733f8d3b8d57,CCO/0
node/7143285223,Mjc4NDQwODMxNTQwMjQwOTM2Nzc=,b7b97915-f187-4b13-b2de-180e7a78769d,CCI/1
node/7143285224,ODU3NjUyMDUwODI3ODQ0MDgzMTU=,eefd0178-b8db-40a4-a4ca-382dcf9560c9,CCI/0
node/7282825889,NjUxNzkyODMxOTQyNDkyODI3MjI=,04268435-c962-497b-99fc-b8aa1688c040,GWI/1
node/7282825890,NDI0OTI4Mjc0NDY1MTc5MjgzMTk=,36145890-fa17-42fa-872a-c9663bbdca5d,GWI/0
node/7282871226,NjU2ODc4Nzk2MjUzMjQ0NTMzNTI=,83e9782e-6ce4-47da-8960-af85e2b11373,SRI/0
node/7282871227,NTMyNDQ1MzM1MjQyNDkyODI3NTQ=,50fbb900-4449-4f44-8b0f-52d8c3194757,SRI/1
node/7317528046,MzgzMTcyNjcwNDM5NTU5NTk4MDY=,b0509292-ce59-4489-a454-95469518d19c,WFI/0
node/7317528047,MzgzMjUwMDk2MTM4MzI0ODYyNDI=,d590beca-70fe-4acf-bb5b-b45a768ca0de,WFI/1
node/7317551160,MjUzNjgzMjg0MjUzNjgzMjgz,685976ac-25d4-41aa-8048-fe86635d8c5f,SCO/0
node/7317551161,NDI0OTI4MjY0NDI1MzY4MzI4NA==,f7fff3cc-d0b4-466e-b3ef-78e970eb568d,SCO/1
node/7317611944,NTE1MzUyODIyNjI1NzUxMDcy,b147900c-f5d6-4fa8-8f89-682373cd3108,PTO/1
node/7317611945,MjU3NTEwNzI1MTUzNTU0MDIz,615df93c-23a3-455b-ab58-fe9591add904,PTO/0
node/7317611946,MTA4MjUxMDgzOTUxMDgyNTEwODM5OQ==,6fb86aee-cbd4-4184-83dc-3f1fba499dbc,MTO/1
node/7317611947,MTA4MjUxMDgzOTgzMTgwOTc5NjU4,98436c63-54be-4d4c-a850-5f4a910ee577,MTO/0
node/7317611948,MTAxNDIyODY1OTMxMTY3NzY2MQ==,7ebe6d90-ca04-4c31-8ae3-c2e14c3be910,ROO/1
node/7317611949,MzExNjc3NjYxMjU3NTExMDM=,381235c5-a93c-458b-bfcd-70c9a78ed9d9,ROO/0
node/8570047233,OTI5Nzc1NjYzMzUzMjY2MTMwMTg=,2e0d87bb-8fcc-4656-8d2a-e627f60e0ec7,LAO/1
node/8570047234,NTMyNjYxMzAxODY1OTU3ODI3NTc=,f47dd1ae-670d-424e-9f3c-0255ef895f56,LAO/0
